Flap Positions,Flap Angles,alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.7,8,9,0,1.401244,0.071221,0.028238,0.099459,0,0,-1.042447,0,0,10.0037,0.3307
0.7,8,9.5,0,1.451741,0.076359,0.030528,0.106887,0,0,-1.071081,0,0,9.8282,0.3297
0.75,10,-2.5,0,0.211699,0.002393,0.016257,0.01865,0,0,-0.447161,0,0,25.737,0.6132
0.75,10,-2,0,0.265125,0.003398,0.016412,0.01981,0,0,-0.477649,0,0,22.9981,0.5487
0.75,10,-1.5,0,0.318522,0.004603,0.016009,0.020612,0,0,-0.508121,0,0,20.9821,0.5058
0.75,10,-1,0,0.371878,0.006007,0.015323,0.02133,0,0,-0.538601,0,0,19.4186,0.4753
0.75,10,-0.5,0,0.425186,0.007609,0.015205,0.022814,0,0,-0.569117,0,0,18.1605,0.4525
0.75,10,0,0,0.478435,0.009408,0.015334,0.024742,0,0,-0.599632,0,0,17.1201,0.4347
0.75,10,0.5,0,0.531617,0.011405,0.015773,0.027178,0,0,-0.630142,0,0,16.2412,0.4206
0.75,10,1,0,0.584722,0.013597,0.016228,0.029825,0,0,-0.660633,0,0,15.4861,0.409
0.75,10,1.5,0,0.637741,0.015983,0.016694,0.032677,0,0,-0.691092,0,0,14.8284,0.3994
0.75,10,2,0,0.690665,0.018563,0.017115,0.035678,0,0,-0.721514,0,0,14.249,0.3913
0.75,10,2.5,0,0.743485,0.021334,0.017446,0.03878,0,0,-0.751887,0,0,13.7335,0.3844
0.75,10,3,0,0.796192,0.024296,0.017796,0.042092,0,0,-0.782173,0,0,13.2712,0.3784
0.75,10,3.5,0,0.848776,0.027446,0.0182,0.045646,0,0,-0.812357,0,0,12.8535,0.3732
0.75,10,4,0,0.90123,0.030782,0.018635,0.049417,0,0,-0.842429,0,0,12.4738,0.3686
0.75,10,4.5,0,0.953543,0.034302,0.019081,0.053383,0,0,-0.872378,0,0,12.1268,0.3646
0.75,10,5,0,1.005707,0.038005,0.019563,0.057568,0,0,-0.902188,0,0,11.8082,0.361
0.75,10,5.5,0,1.057714,0.041887,0.020122,0.06201,0,0,-0.931851,0,0,11.5142,0.3577
0.75,10,6,0,1.109554,0.045947,0.020815,0.066762,0,0,-0.961368,0,0,11.242,0.3549
0.75,10,6.5,0,1.161219,0.050182,0.021648,0.071829,0,0,-0.990734,0,0,10.9891,0.3523
0.75,10,7,0,1.212701,0.054588,0.022611,0.077199,0,0,-1.019941,0,0,10.7533,0.3499
0.75,10,7.5,0,1.26399,0.059163,0.02381,0.082974,0,0,-1.04898,0,0,10.5329,0.3478
0.75,10,8,0,1.315079,0.063905,0.025238,0.089143,0,0,-1.077837,0,0,10.3262,0.3458
0.75,10,8.5,0,1.365959,0.068809,0.026955,0.095764,0,0,-1.106538,0,0,10.1321,0.3441
0.75,10,9,0,1.416622,0.073873,0.028963,0.102836,0,0,-1.135065,0,0,9.9493,0.3424
0.75,10,9.5,0,1.46706,0.079093,0.03116,0.110253,0,0,-1.16343,0,0,9.7767,0.341
0.75,2,-2.5,0,0.085865,0.000593,0.013331,0.013925,0,0,0.252937,0,0,40.412,-0.4214
0.75,2,-2,0,0.139248,0.000854,0.013515,0.01437,0,0,0.223021,0,0,31.7339,-0.1476
0.75,2,-1.5,0,0.192624,0.001314,0.013309,0.014623,0,0,0.19301,0,0,26.9813,-0.0255
0.75,2,-1,0,0.245982,0.001972,0.012599,0.014572,0,0,0.163045,0,0,23.8763,0.0436
0.75,2,-0.5,0,0.299313,0.002829,0.012043,0.014872,0,0,0.133012,0,0,21.6449,0.0881
0.75,2,0,0,0.352608,0.003885,0.011954,0.015839,0,0,0.102881,0,0,19.9421,0.1191
0.75,2,0.5,0,0.405859,0.005138,0.012193,0.017331,0,0,0.072658,0,0,18.5879,0.142
0.75,2,1,0,0.459054,0.006588,0.012538,0.019126,0,0,0.042372,0,0,17.4778,0.1596
0.75,2,1.5,0,0.512187,0.008235,0.012906,0.021141,0,0,0.012032,0,0,16.5464,0.1735
0.75,2,2,0,0.565246,0.010076,0.013312,0.023388,0,0,-0.018345,0,0,15.7507,0.1849
0.75,2,2.5,0,0.618223,0.012113,0.013745,0.025858,0,0,-0.048753,0,0,15.0607,0.1943
0.75,2,3,0,0.67111,0.014342,0.014221,0.028563,0,0,-0.079183,0,0,14.4551,0.2022
0.75,2,3.5,0,0.723896,0.016763,0.014753,0.031515,0,0,-0.109624,0,0,13.9181,0.209
0.75,2,4,0,0.776573,0.019374,0.015313,0.034687,0,0,-0.140072,0,0,13.4378,0.2149
0.75,2,4.5,0,0.829131,0.022173,0.015908,0.038081,0,0,-0.170514,0,0,13.0049,0.22
0.75,2,5,0,0.881563,0.025159,0.016541,0.041701,0,0,-0.200937,0,0,12.6122,0.2246
0.75,2,5.5,0,0.933858,0.02833,0.01723,0.04556,0,0,-0.231332,0,0,12.254,0.2286
0.75,2,6,0,0.986009,0.031683,0.017979,0.049662,0,0,-0.261687,0,0,11.9255,0.2323
0.75,2,6.5,0,1.038006,0.035217,0.01882,0.054037,0,0,-0.291992,0,0,11.623,0.2356
0.75,2,7,0,1.08984,0.038928,0.019757,0.058686,0,0,-0.322237,0,0,11.3432,0.2386
0.75,2,7.5,0,1.141503,0.042815,0.02089,0.063705,0,0,-0.352411,0,0,11.0836,0.2413
0.75,2,8,0,1.192987,0.046875,0.022245,0.069119,0,0,-0.382508,0,0,10.8418,0.2439
0.75,2,8.5,0,1.244282,0.051104,0.023805,0.07491,0,0,-0.41252,0,0,10.6159,0.2462
0.75,2,9,0,1.295381,0.055501,0.025621,0.081122,0,0,-0.442443,0,0,10.4044,0.2484
0.75,2,9.5,0,1.346276,0.060061,0.027615,0.087676,0,0,-0.472279,0,0,10.2059,0.2504
0.75,4,-3,0,0.063854,0.00024,0.014563,0.014803,0,0,0.107895,0,0,46.8624,-0.1626
0.75,4,-2.5,0,0.117262,0.000487,0.013853,0.014339,0,0,0.077953,0,0,34.5811,0.0449
0.75,4,-2,0,0.170667,0.000933,0.013939,0.014872,0,0,0.047807,0,0,28.6644,0.1226
0.75,4,-1.5,0,0.224057,0.001578,0.013729,0.015307,0,0,0.017703,0,0,25.0172,0.1632
0.75,4,-1,0,0.277425,0.002422,0.013012,0.015435,0,0,-0.012378,0,0,22.4825,0.1882
0.75,4,-0.5,0,0.33076,0.003465,0.012606,0.016072,0,0,-0.04254,0,0,20.5902,0.2051
0.75,4,0,0,0.384054,0.004707,0.012561,0.017268,0,0,-0.072789,0,0,19.1083,0.2174
0.75,4,0.5,0,0.437297,0.006146,0.012843,0.018989,0,0,-0.103111,0,0,17.9073,0.2267
0.75,4,1,0,0.49048,0.007782,0.013187,0.020969,0,0,-0.133476,0,0,16.9086,0.2339
0.75,4,1.5,0,0.543594,0.009614,0.013557,0.02317,0,0,-0.16387,0,0,16.0613,0.2398
0.75,4,2,0,0.596629,0.011641,0.01395,0.02559,0,0,-0.194279,0,0,15.3308,0.2446
0.75,4,2.5,0,0.649577,0.013861,0.014361,0.028223,0,0,-0.224695,0,0,14.6927,0.2487
0.75,4,3,0,0.702429,0.016275,0.014776,0.03105,0,0,-0.255109,0,0,14.1292,0.2522
0.75,4,3.5,0,0.755174,0.018879,0.015231,0.034111,0,0,-0.285505,0,0,13.6268,0.2552
0.75,4,4,0,0.807805,0.021673,0.015759,0.037432,0,0,-0.315872,0,0,13.1754,0.2578
0.75,4,4.5,0,0.860312,0.024654,0.016344,0.040998,0,0,-0.346205,0,0,12.767,0.2601
0.75,4,5,0,0.912687,0.027821,0.01698,0.044801,0,0,-0.376493,0,0,12.3953,0.2622
0.75,4,5.5,0,0.96492,0.031172,0.017666,0.048838,0,0,-0.406726,0,0,12.0551,0.2641
0.75,4,6,0,1.017002,0.034704,0.0184,0.053104,0,0,-0.43689,0,0,11.7424,0.2658
0.75,4,6.5,0,1.068926,0.038415,0.019221,0.057637,0,0,-0.466974,0,0,11.4537,0.2673
0.75,4,7,0,1.120682,0.042303,0.020135,0.062438,0,0,-0.496967,0,0,11.186,0.2688
0.75,4,7.5,0,1.172261,0.046365,0.021259,0.067624,0,0,-0.526866,0,0,10.9372,0.2701
0.75,4,8,0,1.223655,0.050598,0.02263,0.073227,0,0,-0.556666,0,0,10.705,0.2713
0.75,4,8.5,0,1.274856,0.054999,0.024191,0.07919,0,0,-0.586348,0,0,10.4879,0.2725
0.75,4,9,0,1.325856,0.059565,0.02607,0.085635,0,0,-0.615941,0,0,10.2842,0.2736
0.75,4,9.5,0,1.376645,0.064294,0.028191,0.092485,0,0,-0.64546,0,0,10.0927,0.2746
0.75,6,-3.5,0,0.041853,0.000085,0.017233,0.017318,0,0,-0.037162,0,0,57.8837,0.3688
0.75,6,-3,0,0.095282,0.000318,0.015293,0.015611,0,0,-0.067023,0,0,38.3631,0.3264
0.75,6,-2.5,0,0.14871,0.000751,0.01448,0.01523,0,0,-0.097168,0,0,30.7077,0.3145
0.75,6,-2,0,0.202128,0.001383,0.014549,0.015932,0,0,-0.127433,0,0,26.3393,0.3088
0.75,6,-1.5,0,0.255527,0.002214,0.014332,0.016546,0,0,-0.15764,0,0,23.4261,0.3055
0.75,6,-1,0,0.308898,0.003245,0.013599,0.016844,0,0,-0.187853,0,0,21.3064,0.3034
0.75,6,-0.5,0,0.362231,0.004474,0.013296,0.01777,0,0,-0.218149,0,0,19.6755,0.3019
0.75,6,0,0,0.415516,0.005902,0.013281,0.019182,0,0,-0.248509,0,0,18.3706,0.3008
0.75,6,0.5,0,0.468745,0.007527,0.013597,0.021124,0,0,-0.278915,0,0,17.2961,0.3
0.75,6,1,0,0.521909,0.009348,0.013956,0.023304,0,0,-0.309339,0,0,16.3916,0.2993
0.75,6,1.5,0,0.574998,0.011366,0.014362,0.025728,0,0,-0.339762,0,0,15.6165,0.2988
0.75,6,2,0,0.628003,0.013578,0.01478,0.028358,0,0,-0.370182,0,0,14.943,0.2984
0.75,6,2.5,0,0.680915,0.015983,0.015188,0.031171,0,0,-0.400591,0,0,14.3506,0.2981
0.75,6,3,0,0.733725,0.01858,0.015582,0.034161,0,0,-0.430973,0,0,13.8246,0.2979
0.75,6,3.5,0,0.786423,0.021367,0.01601,0.037377,0,0,-0.46131,0,0,13.3533,0.2977
0.75,6,4,0,0.839001,0.024343,0.016484,0.040827,0,0,-0.491591,0,0,12.9282,0.2975
0.75,6,4.5,0,0.89145,0.027505,0.017022,0.044527,0,0,-0.521806,0,0,12.5421,0.2974
0.75,6,5,0,0.943761,0.030852,0.017623,0.048475,0,0,-0.551946,0,0,12.1895,0.2973
0.75,6,5.5,0,0.995925,0.034381,0.018279,0.05266,0,0,-0.582001,0,0,11.866,0.2973
0.75,6,6,0,1.047934,0.038091,0.018989,0.05708,0,0,-0.611959,0,0,11.5678,0.2973
0.75,6,6.5,0,1.099777,0.041978,0.019783,0.061761,0,0,-0.641808,0,0,11.2919,0.2973
0.75,6,7,0,1.151448,0.046041,0.020661,0.066701,0,0,-0.671534,0,0,11.0356,0.2973
0.75,6,7.5,0,1.202937,0.050276,0.021735,0.072011,0,0,-0.701128,0,0,10.7968,0.2973
0.75,6,8,0,1.254236,0.05468,0.023049,0.077729,0,0,-0.730589,0,0,10.5737,0.2974
0.75,6,8.5,0,1.305336,0.059251,0.024732,0.083983,0,0,-0.759972,0,0,10.3647,0.2975
0.75,6,9,0,1.356229,0.063986,0.026789,0.090775,0,0,-0.789276,0,0,10.1684,0.2976
0.75,6,9.5,0,1.406908,0.068881,0.029099,0.097981,0,0,-0.818502,0,0,9.9836,0.2977
0.75,8,-3.5,0,0.073304,0.000348,0.018224,0.018572,0,0,-0.211834,0,0,43.7374,0.7768
0.75,8,-3,0,0.126752,0.000767,0.015603,0.01637,0,0,-0.241891,0,0,33.2614,0.5729
0.75,8,-2.5,0,0.180193,0.001386,0.015233,0.01662,0,0,-0.272266,0,0,27.8964,0.49
0.75,8,-2,0,0.233619,0.002205,0.015363,0.017568,0,0,-0.302621,0,0,24.4998,0.4449
0.75,8,-1.5,0,0.28702,0.003223,0.015084,0.018307,0,0,-0.332946,0,0,22.1035,0.4167
0.75,8,-1,0,0.340387,0.00444,0.014343,0.018783,0,0,-0.363301,0,0,20.297,0.3973
0.75,8,-0.5,0,0.393711,0.005856,0.014122,0.019978,0,0,-0.393722,0,0,18.8725,0.3832
0.75,8,0,0,0.446981,0.00747,0.01416,0.021629,0,0,-0.424172,0,0,17.7122,0.3725
0.75,8,0.5,0,0.50019,0.00928,0.014508,0.023789,0,0,-0.454645,0,0,16.7437,0.3641
0.75,8,1,0,0.553328,0.011288,0.014946,0.026233,0,0,-0.485095,0,0,15.9194,0.3573
0.75,8,1.5,0,0.606385,0.01349,0.015411,0.028901,0,0,-0.515532,0,0,15.207,0.3518
0.75,8,2,0,0.659353,0.015886,0.015848,0.031734,0,0,-0.545954,0,0,14.5834,0.3471
0.75,8,2.5,0,0.712222,0.018475,0.01623,0.034705,0,0,-0.576349,0,0,14.0317,0.3432
0.75,8,3,0,0.764984,0.021254,0.01661,0.037865,0,0,-0.606689,0,0,13.5392,0.3398
0.75,8,3.5,0,0.817629,0.024224,0.017022,0.041245,0,0,-0.636957,0,0,13.096,0.3369
0.75,8,4,0,0.870148,0.02738,0.017473,0.044853,0,0,-0.66714,0,0,12.6947,0.3344
0.75,8,4.5,0,0.922532,0.030722,0.017951,0.048673,0,0,-0.697227,0,0,12.329,0.3321
0.75,8,5,0,0.974773,0.034248,0.018478,0.052726,0,0,-0.727207,0,0,11.9941,0.3302
0.75,8,5.5,0,1.026862,0.037955,0.019069,0.057023,0,0,-0.757069,0,0,11.6859,0.3284
0.75,8,6,0,1.078789,0.04184,0.019723,0.061563,0,0,-0.786803,0,0,11.4012,0.3269
0.75,8,6.5,0,1.130547,0.045902,0.020483,0.066385,0,0,-0.8164,0,0,11.1371,0.3255
0.75,8,7,0,1.182126,0.050138,0.021359,0.071497,0,0,-0.845853,0,0,10.8915,0.3243
0.75,8,7.5,0,1.233518,0.054544,0.022489,0.077033,0,0,-0.875165,0,0,10.6622,0.3232
0.75,8,8,0,1.284715,0.059118,0.023847,0.082964,0,0,-0.904315,0,0,10.4475,0.3222
0.75,8,8.5,0,1.335708,0.063857,0.025614,0.089471,0,0,-0.933381,0,0,10.2462,0.3213
0.75,8,9,0,1.38649,0.068757,0.027749,0.096506,0,0,-0.962345,0,0,10.0568,0.3205
0.75,8,9.5,0,1.43705,0.073816,0.030073,0.103889,0,0,-0.991181,0,0,9.8783,0.3198
0,0,-2.5,0,0.054527,0.001069,0.013111,0.01418,0,0,0.427788,0,0,50.7122,-1.4228
0,0,-2,0,0.107884,0.001146,0.013116,0.014261,0,0,0.39807,0,0,36.0528,-0.5743
0,0,-1.5,0,0.161238,0.001421,0.013021,0.014442,0,0,0.368199,0,0,29.4906,-0.2874
0,0,-1,0,0.214581,0.001894,0.012298,0.014192,0,0,0.338333,0,0,25.5636,-0.1431
0,0,-0.5,0,0.267902,0.002566,0.011596,0.014162,0,0,0.308433,0,0,22.8786,-0.0563
0,0,0,0,0.321193,0.003436,0.011437,0.014872,0,0,0.278424,0,0,20.8946,0.0017
0,0,0.5,0,0.374444,0.004503,0.01164,0.016143,0,0,0.248309,0,0,19.3519,0.0432
0,0,1,0,0.427646,0.005768,0.011991,0.017759,0,0,0.218121,0,0,18.1082,0.0744
0,0,1.5,0,0.48079,0.007229,0.012422,0.019651,0,0,0.187862,0,0,17.0781,0.0987
0,0,2,0,0.533867,0.008886,0.012885,0.021771,0,0,0.157533,0,0,16.2069,0.1181
0,0,2.5,0,0.586868,0.010737,0.01339,0.024127,0,0,0.127146,0,0,15.4578,0.1341
0,0,3,0,0.639782,0.012782,0.013917,0.026699,0,0,0.096703,0,0,14.8048,0.1474
0,0,3.5,0,0.692602,0.015019,0.014477,0.029496,0,0,0.066216,0,0,14.229,0.1587
0,0,4,0,0.745319,0.017446,0.015071,0.032518,0,0,0.035694,0,0,13.7166,0.1684
0,0,4.5,0,0.797922,0.020063,0.015704,0.035767,0,0,0.005149,0,0,13.2568,0.1768
0,0,5,0,0.850404,0.022868,0.016377,0.039244,0,0,-0.025408,0,0,12.8412,0.1842
0,0,5.5,0,0.902755,0.025857,0.017083,0.04294,0,0,-0.055964,0,0,12.4633,0.1908
0,0,6,0,0.954966,0.029031,0.017833,0.046864,0,0,-0.086506,0,0,12.1178,0.1966
0,0,6.5,0,1.00703,0.032385,0.01868,0.051066,0,0,-0.117026,0,0,11.8004,0.2019
0,0,7,0,1.058936,0.035919,0.019617,0.055536,0,0,-0.147511,0,0,11.5076,0.2067
0,0,7.5,0,1.110676,0.03963,0.020746,0.060376,0,0,-0.177954,0,0,11.2363,0.211
0,0,8,0,1.162242,0.043514,0.022086,0.0656,0,0,-0.208342,0,0,10.9842,0.215
0,0,8.5,0,1.213624,0.04757,0.023625,0.071195,0,0,-0.23867,0,0,10.7492,0.2186
0,0,9,0,1.264816,0.051794,0.025389,0.077183,0,0,-0.268924,0,0,10.5294,0.222
0,0,9.5,0,1.315808,0.056184,0.027313,0.083497,0,0,-0.299099,0,0,10.3234,0.2251
